iter	Logloss
0	0.5312631984
1	0.4256083184
2	0.3496843673
3	0.2993961783
4	0.26168289
5	0.2371623222
6	0.2202497072
7	0.2077238598
8	0.1990414228
9	0.19153288
10	0.1859461019
11	0.1809097679
12	0.1773746421
13	0.1745145276
14	0.1719944312
15	0.1703905921
16	0.1674649573
17	0.1655232555
18	0.1638788796
19	0.1621096433
20	0.160700592
21	0.1596631142
22	0.1588293556
23	0.1581558075
24	0.1568601472
25	0.1562412799
26	0.1552061846
27	0.1542090241
28	0.1534502452
29	0.1528566145
30	0.1524049792
31	0.1516942607
32	0.1510853282
33	0.1505168232
34	0.1499845813
35	0.1495952913
36	0.1489385758
37	0.1485784118
38	0.148039243
39	0.1476178437
40	0.1471978211
41	0.1466611679
42	0.1464208117
43	0.1460513058
44	0.1457281684
45	0.1455111677
46	0.1450256172
47	0.1446539741
48	0.144335363
49	0.1439539854
50	0.1436240709
51	0.1433990524
52	0.1431301313
53	0.1428751981
54	0.1425073414
55	0.1421978199
56	0.1419303218
57	0.1414903017
58	0.1412176703
59	0.1408080855
60	0.1404540212
61	0.1402299772
62	0.1399929844
63	0.1396750719
64	0.1393705314
65	0.139117469
66	0.1388941565
67	0.1386439296
68	0.138368287
69	0.1381935259
70	0.1379942635
71	0.1376711681
72	0.1375112328
73	0.1371984752
74	0.1367744015
75	0.1364707989
76	0.136262313
77	0.1359215316
78	0.1357640315
79	0.1355688761
80	0.1352066428
81	0.1348997212
82	0.1347146675
83	0.1344267868
84	0.1341704388
85	0.133879004
86	0.1334839851
87	0.1332308182
88	0.133018441
89	0.132672572
90	0.132333344
91	0.1321402302
92	0.131888552
93	0.131625388
94	0.1312764195
95	0.1310531754
96	0.1308252672
97	0.1307242881
98	0.1303819259
99	0.1300859726
100	0.1298403072
101	0.1296266771
102	0.1294570794
103	0.1291530178
104	0.1289539678
105	0.1286900555
106	0.1284407322
107	0.128152465
108	0.1279211302
109	0.1275586933
110	0.1272211671
111	0.1270229679
112	0.1267416603
113	0.1265092318
114	0.1262308458
115	0.1259303872
116	0.1257458453
117	0.1254394448
118	0.1252977906
119	0.1251430927
120	0.1249064265
121	0.1246711553
122	0.124527972
123	0.1242375904
124	0.1240371065
125	0.1237541266
126	0.1235260959
127	0.1232702918
128	0.1229676012
129	0.1226826892
130	0.1225495603
131	0.1223783772
132	0.1222282297
133	0.1219783497
134	0.1217608943
135	0.1214586625
136	0.1212561532
137	0.1210350086
138	0.1208075165
139	0.1204210501
140	0.1201606505
141	0.1198940453
142	0.119621059
143	0.1194402785
144	0.1192395278
145	0.1190150086
146	0.1189133731
147	0.118675701
148	0.1185345994
149	0.1182690331
150	0.1181782509
151	0.1178592994
152	0.1175965151
153	0.1173506316
154	0.117086741
155	0.116926638
156	0.1167268618
157	0.1165634195
158	0.1164443182
159	0.1162127518
160	0.1159229671
161	0.1157149763
162	0.1155618473
163	0.1153110777
164	0.1150400318
165	0.1148647366
166	0.1145728695
167	0.1144162574
168	0.1143111859
169	0.1140865395
170	0.113874911
171	0.1136654159
172	0.1133743938
173	0.1131309033
174	0.1129670928
175	0.1127559611
176	0.1125643282
177	0.1123903142
178	0.1121744522
179	0.1119438677
180	0.1118754169
181	0.1116950599
182	0.1114832226
183	0.1112879596
184	0.1109840442
185	0.1108594544
186	0.1107032833
187	0.1105459237
188	0.1103753658
189	0.1101579901
190	0.1098479702
191	0.1096527589
192	0.1095389849
193	0.1094589809
194	0.1093220113
195	0.1091558433
196	0.1090335574
197	0.108859109
198	0.1086062921
199	0.1084891863
200	0.1083619811
201	0.1081839026
202	0.108033581
203	0.1077820922
204	0.1074786549
205	0.1073562355
206	0.1071434104
207	0.1069516153
208	0.1068235733
209	0.1066356604
210	0.1063882799
211	0.1061989086
212	0.1060610099
213	0.1058468359
214	0.1056453797
215	0.1054295788
216	0.1052002851
217	0.1050915034
218	0.1048600511
219	0.1046799865
220	0.1044594651
221	0.1043888335
222	0.1042329512
223	0.1040509069
224	0.1039617309
225	0.1037368973
226	0.1035444717
227	0.1033096145
228	0.1031366155
229	0.1029404814
230	0.1027658509
231	0.1025496228
232	0.1023980478
233	0.102253038
234	0.1020952721
235	0.1018426741
236	0.1016154746
237	0.1014780524
238	0.1013479332
239	0.1012693036
240	0.1010887269
241	0.1009182591
242	0.1008090315
243	0.1007167266
244	0.1005080407
245	0.1003048977
246	0.1001281961
247	0.09997611997
248	0.09977345368
249	0.09959815498
250	0.09940838157
251	0.09912751031
252	0.09903137336
253	0.09887760001
254	0.09862026555
255	0.09839962776
256	0.09820383258
257	0.09802617703
258	0.09793177601
259	0.09783120161
260	0.09770252151
261	0.0975491611
262	0.09739530267
263	0.09731060369
264	0.09708281238
265	0.09690775905
266	0.0967430547
267	0.09658809579
268	0.09639030535
269	0.09624816709
270	0.0960877572
271	0.09585151787
272	0.09564111381
273	0.09548991036
274	0.09532028825
275	0.09517421746
276	0.09503800995
277	0.09487083328
278	0.09477786903
279	0.09468655787
280	0.09451135389
281	0.09441820704
282	0.09422377584
283	0.09404107624
284	0.0938864324
285	0.09373530852
286	0.09364126861
287	0.09346257725
288	0.09324160343
289	0.09310773038
290	0.09296073545
291	0.09286563438
292	0.09265907844
293	0.09252950564
294	0.09236206128
295	0.09221504179
296	0.09205764538
297	0.09187597979
298	0.09177162818
299	0.0916706194
300	0.09152032899
301	0.09136108066
302	0.09133296461
303	0.09113038763
304	0.09100687714
305	0.09079779554
306	0.09063958063
307	0.09049660584
308	0.09036026995
309	0.09013093825
310	0.08996449068
311	0.08975067386
312	0.08966347834
